29,20,21,29,20,21,17,29,20,21,17,18,17,18,29,20,21,17,18,29,20,29,20,21,17,18,17,18,29,20,29
24,20,18,24,20,18,18,24,20,18,18,15,18,15,24,20,18,18,15,24,20,24,20,18,18,15,18,15,24,20,24
25,21,20,25,21,20,17,25,21,20,17,20,17,20,25,21,20,17,20,25,21,25,21,20,17,20,17,20,25,21,25
24,22,20,24,22,20,18,24,22,20,18,18,18,18,24,22,20,18,18,24,22,24,22,20,18,18,18,18,24,22,24
24,19,22,24,19,22,20,24,19,22,20,16,20,16,24,19,22,20,16,24,19,24,19,22,20,16,20,16,24,19,24
24,18,19,24,18,19,17,24,18,19,17,20,17,20,24,18,19,17,20,24,18,24,18,19,17,20,17,20,24,18,24
17,12,13,17,12,13,12,17,12,13,12,12,12,12,17,12,13,12,12,17,12,17,12,13,12,12,12,12,17,12,17
13,14,11,13,14,11,12,13,14,11,12,11,12,11,13,14,11,12,11,13,14,13,14,11,12,11,12,11,13,14,13
17,14,14,17,14,14,11,17,14,14,11,13,11,13,17,14,14,11,13,17,14,17,14,14,11,13,11,13,17,14,17
23,18,17,23,18,17,15,23,18,17,15,17,15,17,23,18,17,15,17,23,18,23,18,17,15,17,15,17,23,18,23
21,20,20,21,20,20,18,21,20,20,18,17,18,17,21,20,20,18,17,21,20,21,20,20,18,17,18,17,21,20,21
23,20,21,23,20,21,17,23,20,21,17,18,17,18,23,20,21,17,18,23,20,23,20,21,17,18,17,18,23,20,23
21,18,18,21,18,18,16,21,18,18,16,16,16,16,21,18,18,16,16,21,18,21,18,18,16,16,16,16,21,18,21
18,20,18,18,20,18,17,18,20,18,17,18,17,18,18,20,18,17,18,18,20,18,20,18,17,18,17,18,18,20,18
20,17,17,20,17,17,14,20,17,17,14,17,14,17,20,17,17,14,17,20,17,20,17,17,14,17,14,17,20,17,20
20,17,15,20,17,15,15,20,17,15,15,13,15,13,20,17,15,15,13,20,17,20,17,15,15,13,15,13,20,17,20
16,11,15,16,11,15,13,16,11,15,13,14,13,14,16,11,15,13,14,16,11,16,11,15,13,14,13,14,16,11,16
11,11,13,11,11,13,11,11,11,13,11,10,11,10,11,11,13,11,10,11,11,11,11,13,11,10,11,10,11,11,11
10,8,8,10,8,8,9,10,8,8,9,6,9,6,10,8,8,9,6,10,8,10,8,8,9,6,9,6,10,8,10
8,8,6,8,8,6,7,8,8,6,7,6,7,6,8,8,6,7,6,8,8,8,8,6,7,6,7,6,8,8,8
8,9,6,8,9,6,8,8,9,6,8,6,8,6,8,9,6,8,6,8,9,8,9,6,8,6,8,6,8,9,8
8,8,8,8,8,8,7,8,8,8,7,5,7,5,8,8,8,7,5,8,8,8,8,8,7,5,7,5,8,8,8
9,8,7,9,8,7,7,9,8,7,7,6,7,6,9,8,7,7,6,9,8,9,8,7,7,6,7,6,9,8,9
8,7,6,8,7,6,6,8,7,6,6,6,6,6,8,7,6,6,6,8,7,8,7,6,6,6,6,6,8,7,8